Date,Colony,sub,Treatment,Treated.leaf,Hour,Forager.age,LS,HH,,,,,,,,
20190803,Honey,1,I,HH,2,Young,53,2,,,,,,,,
20190803,Honey,1,I,HH,3,Old,29,26,,,,,,,,
20190803,Honey,1,I,HH,3,Young,62,1,,,,,,,,
20190803,Honey,1,I,HH,4,Old,30,20,,,,,,,,
20190803,Honey,1,I,HH,4,Young,32,2,,,,,,,,
20190803,Honey,1,I,HH,5,Old,7,9,,,,,,,,
20190803,Honey,1,I,HH,5,Young,6,10,,,,,,,,
20190803,Honey,1,I,HH,6,Old,23,27,,,,,,,,
20190803,Honey,1,I,HH,6,Young,54,3,,,,,,,,
20190803,Honey,1,I,HH,7,Old,23,11,,,,,,,,
